Code,Description,Theta_r,Theta_s,Alpha,Npar,Usedmodel
2583,UNSODA(lab),0,0.460026,0.034979,1.267599,
2584,UNSODA(lab),0.035701,0.286,0.07058,1.991234,
2590,UNSODA(lab),0,0.511387,0.096415,1.129679,
2591,UNSODA(lab),0,0.400373,0.121634,1.106995,
2592,UNSODA(lab),0.000019,0.370735,0.007481,1.096624,
2593,UNSODA(lab),0,0.390207,0.023192,1.066942,
2601,UNSODA(lab),0.000001,0.556135,0.102413,1.128773,
2602,UNSODA(lab),0,0.485198,0.024316,1.129749,
2603,UNSODA(lab),0,0.435994,0.007516,1.131733,
2604,UNSODA(lab),0.038081,0.41912,0.108253,1.17933,
2605,UNSODA(lab),0,0.396375,0.048284,1.193308,
2610,UNSODA(lab),0.143812,0.824,0.064129,1.272806,
2612,UNSODA(lab),0,0.416236,0.002459,1.247993,
2613,UNSODA(lab),0,0.373417,0.001536,1.302271,
2614,UNSODA(lab),0.000016,0.364314,0.001907,1.205356,
2620,UNSODA(lab),0.000002,0.553831,0.018599,1.128802,
2621,UNSODA(lab),0,0.498943,0.014925,1.083801,
2622,UNSODA(lab),0,0.437776,0.019161,1.068435,
2630,UNSODA(lab),0,0.486364,0.044137,1.191209,
2631,UNSODA(lab),0,0.469811,0.040791,1.16378,
2640,UNSODA(lab),0,0.435447,0.082115,1.307873,
2641,UNSODA(lab),0,0.503125,0.226639,1.124467,
2642,UNSODA(lab),0.000001,0.372194,0.011114,1.161721,
2650,UNSODA(lab),0,0.551061,0.132674,1.178202,
2651,UNSODA(lab),0,0.513208,0.475834,1.14992,
2652,UNSODA(lab),0,0.420826,0.018713,1.124942,
2653,UNSODA(lab),0,0.34,0.128445,1.092215,
2660,UNSODA(lab),0,0.623,0.191404,1.040046,
2670,UNSODA(lab),0.000002,0.408208,0.001658,1.27092,
2671,UNSODA(lab),0,0.446267,0.00357,1.250409,
2680,UNSODA(lab),0.05493,0.592999,0.09655,1.220691,
2681,UNSODA(lab),0.193516,0.504,0.278358,1.231482,
2682,UNSODA(lab),0,0.491,0.246263,1.09518,
2683,UNSODA(lab),0,0.467,0.115843,1.155197,
2710,UNSODA(lab),0,0.580136,0.128228,1.220762,
2711,UNSODA(lab),0,0.479871,0.027672,1.21404,
2712,UNSODA(lab),0,0.402238,0.00908,1.20374,
2713,UNSODA(lab),0,0.370927,0.015635,1.11943,
2720,UNSODA(lab),0,0.583726,0.099948,1.169992,
2721,UNSODA(lab),0,0.472297,0.014379,1.247528,
2722,UNSODA(lab),0.122,0.396192,0.004435,1.484503,
2723,UNSODA(lab),0.000001,0.390753,0.00222,1.257587,
2740,UNSODA(lab),0.000128,0.70994,0.106363,1.172227,
2741,UNSODA(lab),0.000814,0.673189,0.053266,1.22544,
2742,UNSODA(lab),0.0361,0.6623,0.075821,1.223417,
2743,UNSODA(lab),0.08601,0.711785,0.088295,1.21302,
2750,UNSODA(lab),0,0.613311,0.119702,1.129936,
2751,UNSODA(lab),0,0.484678,0.021175,1.112372,
2752,UNSODA(lab),0,0.436015,0.003284,1.216878,
2753,UNSODA(lab),0,0.437737,0.002487,1.265826,
2760,UNSODA(lab),0,0.499678,0.058511,1.088543,
2761,UNSODA(lab),0,0.486075,0.033207,1.19604,
2762,UNSODA(lab),0.011221,0.46908,0.064184,1.287866,
2763,UNSODA(lab),0.059,0.460855,0.022278,1.94475,
2764,UNSODA(lab),0.072614,0.494504,0.023451,1.671872,
2765,UNSODA(lab),0,0.458268,0.015079,1.305914,
3030,UNSODA(lab),0.299999,0.58,0.04016,1.112831,
3031,UNSODA(lab),0.197297,0.525788,0.11871,1.127036,
3032,UNSODA(lab),0.038749,0.546182,0.049783,1.11775,
3033,UNSODA(lab),0.271174,0.571,0.024682,1.756545,
3070,UNSODA(lab),0,0.3,0.031121,7.379608,
3080,UNSODA(lab),0,0.411,0.021896,10,
3090,UNSODA(lab),0,0.423804,0.025181,1.199844,
3101,UNSODA(lab),0.251563,0.797,0.015014,1.506366,
3102,UNSODA(lab),0.228757,0.632,0.025541,1.609389,
3103,UNSODA(lab),0.197779,0.638,0.024744,1.565064,
3110,UNSODA(lab),0.205157,0.566,0.007221,1.340403,
3111,UNSODA(lab),0.212228,0.587,0.015389,1.281221,
3112,UNSODA(lab),0.00031,0.590946,0.007094,1.291471,
3113,UNSODA(lab),0.240086,0.57,0.016975,1.817813,
3120,UNSODA(lab),0,0.641461,0.023734,1.233235,
3130,UNSODA(lab),0.122,0.481,0.024071,2.744538,
3131,UNSODA(lab),0.126263,0.402573,0.021387,3.028604,
3132,UNSODA(lab),0.065069,0.306661,0.028853,2.891665,
3141,UNSODA(lab),0.081937,0.352608,0.026592,2.338771,
3142,UNSODA(lab),0.074962,0.377721,0.031096,2.703629,
3143,UNSODA(lab),0.058603,0.348134,0.028285,3.329792,
3144,UNSODA(lab),0.067813,0.350207,0.027262,3.25979,
3150,UNSODA(lab),0.135374,0.464151,0.027119,1.9846,
3151,UNSODA(lab),0.105529,0.432969,0.024922,2.156928,
3152,UNSODA(lab),0.093557,0.418278,0.030747,2.27534,
3153,UNSODA(lab),0.075879,0.430189,0.034362,2.547379,
3154,UNSODA(lab),0.068189,0.422642,0.029218,2.620638,
3155,UNSODA(lab),0.062475,0.422642,0.03886,2.699424,
3160,UNSODA(lab),0.13,0.517,0.022621,2.980589,
3161,UNSODA(lab),0.119,0.498,0.019392,3.701649,
3162,UNSODA(lab),0.090363,0.416429,0.019968,3.473663,
3163,UNSODA(lab),0.080532,0.408566,0.017536,3.581507,
3164,UNSODA(lab),0.081726,0.389623,0.01652,4.521712,
3165,UNSODA(lab),0.095,0.396226,0.021002,3.27937,
3170,UNSODA(lab),0.099724,0.429184,0.026449,2.507571,
3171,UNSODA(lab),0.088062,0.4,0.018796,2.800599,
3172,UNSODA(lab),0.085806,0.376309,0.017363,3.732118,
3173,UNSODA(lab),0.102507,0.343384,0.015121,2.970556,
3174,UNSODA(lab),0.120141,0.392453,0.01861,2.218473,
3175,UNSODA(lab),0.04154,0.418868,0.036235,5.786308,
3180,UNSODA(lab),0.249046,0.4352,0.026182,3.446518,
3181,UNSODA(lab),0.088515,0.419231,0.017039,4.361657,
3182,UNSODA(lab),0.097999,0.415094,0.028897,3.424018,
3183,UNSODA(lab),0.084308,0.422238,0.029362,4.133706,
3190,UNSODA(lab),0.241891,0.553,0.019831,1.81104,
3191,UNSODA(lab),0.23809,0.528,0.020947,1.865686,
3192,UNSODA(lab),0.230697,0.49,0.021523,1.570526,
3193,UNSODA(lab),0.000022,0.425662,0.017789,1.196238,
3194,UNSODA(lab),0.109728,0.436,0.023368,1.298694,
3195,UNSODA(lab),0.000006,0.344115,0.055952,1.148408,
3200,UNSODA(lab),0.195166,0.529,0.019337,2.656271,
3201,UNSODA(lab),0.210669,0.373515,0.012774,1.907035,
3203,UNSODA(lab),0.168,0.344779,0.010858,3.11833,
3204,UNSODA(lab),0.157203,0.327719,0.015206,2.35263,
3205,UNSODA(lab),0.144,0.298404,0.019583,2.00464,
