labsampnum,db_13b,w0,w6clodVMW,w10cldVMW,w3cldVMW,w15l2VMW,COLEws,adod,cec7_cly,w15cly,result_source_key,latitude_decimal_degrees,longitude_decimal_degrees,lab_texture_class,sand_tot_psa,silt_tot_psa,clay_tot_psa,db_od,alpha,Ko,Ks,Lpar,npar,theta_r,theta_s,ten_npar,ten_alpha
03N03668,1.49,0.437735849,0.36207,0.34866,0.33376,0.15049,0.013,1.02,0.31,0.43,186828,35.0643349,-86.5913925,sil,12.9,63.7,23.4,1.56,-2.3767434,0.104754155,1.064793608,0.439348127,0.180447447,0.061275757,0.417008899,1.515121451,0.004200071
03N03669,1.52,0.426415094,0.36936,0.34808,0.33288,0.15808,0.01,1.019,0.25,0.41,186829,35.0643349,-86.5913925,sil,12.5,62,25.5,1.57,-2.325256531,0.13567294,0.938398336,0.330253413,0.165712031,0.061927573,0.413924963,1.464576398,0.004728719
03N03670,1.55,0.41509434,0.3751,0.3503,0.3379,0.217,0.016,1.023,0.22,0.39,186830,35.0643349,-86.5913925,sicl,12.9,51.1,36,1.63,-1.833480452,0.578416816,0.636552347,-1.562404384,0.091949273,0.072122857,0.418556031,1.235803079,0.014673021
03N03671,1.36,0.486792453,0.4216,0.4012,0.36448,0.25976,0.012,1.025,0.19,0.4,186831,35.0643349,-86.5913925,c,21.4,30.8,47.8,1.41,-1.579982816,0.842313471,1.250710565,-2.774429865,0.082957733,0.094473269,0.479925881,1.21048032,0.026303721
03N04766,1.15,0.566037736,0.3542,0.3381,0.3105,0.11155,0.009,1.031,2.31,1.67,187293,47.3849983,-121.0633316,fsl,61.1,33.1,5.8,1.19,-2.157133787,0.548951076,1.996466363,0.644111404,0.164681104,0.036226515,0.451642807,1.461103914,0.006964119
03N04767,1.1,0.58490566,0.3487,0.3366,0.3234,0.1265,0.013,1.037,1.37,0.78,187294,47.3849983,-121.0633316,sl,53.5,31.8,14.7,1.17,-2.11629403,0.573032132,1.931967308,0.565810223,0.157807377,0.043757659,0.477553823,1.438160568,0.007650785
03N04768,1.13,0.573584906,0.4068,0.39098,0.36047,0.113,0.009,1.034,1.73,1,187295,47.3849983,-121.0633316,cosl,59.6,30.4,10,1.2,-2.488330025,0.178476272,1.76996387,1.071595202,0.219051595,0.045954015,0.461348991,1.655966684,0.003248404
03N04955,1.51,0.430188679,0.35636,0.34428,0.33371,0.07248,0.013,1.009,0.53,0.49,183542,37.1865005,-86.0410309,l,40.5,49.8,9.7,1.57,-2.851316342,-0.148610918,1.032423039,0.789725846,0.318282336,0.044764684,0.376361201,2.081049143,0.001408263
03N04956,1.36,0.486792453,0.44608,0.43928,0.42976,0.30464,0.053,1.046,0.36,0.39,183543,37.1865005,-86.0410309,c,17.7,24.8,57.5,1.59,-1.858508349,0.539880795,1.066834286,-2.122485192,0.075024471,0.082246904,0.501117635,1.188569197,0.013851336
03N04957,1.32,0.501886792,0.50292,0.47916,0.47124,0.38808,0.084,1.054,0.31,0.41,183544,37.1865005,-86.0410309,c,4.1,24.3,71.6,1.68,-1.403963824,0.940087518,0.976952835,-7.858025964,0.050530964,0.110020039,0.52963304,1.123391062,0.039449016
