Code,Description,Sand,Silt,Clay,Gravel,Bulkdensity,Porosity,Particledensity,Organicmatter,Organiccarbon,Theta10,Theta33,Theta1500,Textureclass,Theta_r_fitted,Theta_s_fitted,Alpha_fitted,Npar_fitted,Theta_r_Full,Theta_s_Full,Alpha_Full,N_Full,Theta_r_SSC,Theta_s_SSC,Alpha_SSC,N_SSC,Theta_r_SSCBD,Theta_s_SSCBD,Alpha_SSCBD,N_SSCBD
1092,UNSODA(lab),57.5,14.5,28,,1.6,,,,,,0.289032432,0.25520803,7,0.000001,0.352957,0.02894,1.085651,0.14053,0.38357,0.05279,1.3841,0.07005,0.38935,0.02616,1.29817,0.06566,0.38312,0.0239,1.2741
1100,UNSODA(lab),88.8,5.9,5.3,,1.74,,,,,,0.087292759,0.084134552,5,0.0838,0.343396,0.048855,2.549506,0.08132,0.31804,0.03756,3.08967,0.05047,0.37774,0.03389,2.35063,0.04637,0.31902,0.03638,2.21955
1101,UNSODA(lab),80.3,8.3,11.4,,1.83,,,,,,0.115622976,0.100008478,8,0.082752,0.309434,0.281962,1.425865,0.07892,0.30088,0.04747,2.03149,0.05174,0.37625,0.03237,1.60355,0.0454,0.30167,0.03827,1.50183
1102,UNSODA(lab),69.7,8,22.3,,1.71,,,,,,0.19096365,0.16592433,7,0.121744,0.346744,0.15904,1.297305,0.1188,0.34504,0.05024,1.65669,0.063,0.37488,0.02773,1.33415,0.05649,0.34492,0.03004,1.2698
1103,UNSODA(lab),65.2,5.7,29.1,,1.56,,,,,,0.256888104,0.21967108,7,0,0.411321,0.281982,1.103703,0.13502,0.40046,0.05402,1.44213,0.07055,0.37771,0.02655,1.27343,0.07035,0.3966,0.02511,1.28123
1104,UNSODA(lab),68.1,2.2,29.7,,1.63,,,,,,0.269290318,0.240400599,7,0.133125,0.383934,0.142021,1.158356,0.14049,0.38086,0.05199,1.44613,0.07167,0.37323,0.02491,1.26928,0.06856,0.37547,0.02638,1.24508
1110,UNSODA(lab),88.4,10.5,1.1,,1.69,,,,,,0.095845676,0.093068648,5,0.09296,0.313127,0.022392,3.166662,0.08606,0.32391,0.03496,3.34432,0.04072,0.38788,0.04226,2.48841,0.04131,0.32728,0.04129,2.4961
1111,UNSODA(lab),83.7,14.2,2.1,,1.73,,,,,,0.101400907,0.06827542,4,0.019954,0.34717,0.169171,1.34546,0.04295,0.31633,0.05282,1.77721,0.03726,0.38977,0.04472,1.97987,0.03788,0.31672,0.04688,1.98691
1112,UNSODA(lab),66.8,15.3,17.9,,1.58,,,,,,0.213446901,0.178459148,8,0,0.394825,0.544711,1.11841,0.11993,0.37667,0.05136,1.58401,0.05598,0.3812,0.02974,1.36389,0.05451,0.37705,0.02785,1.38087
1113,UNSODA(lab),63.2,9.4,27.4,,1.49,,,,,,0.278891699,0.245241658,7,0.000001,0.444262,0.721881,1.08503,0.16057,0.41787,0.05456,1.4874,0.06867,0.38099,0.02721,1.28893,0.07123,0.41539,0.02335,1.33631
1115,UNSODA(lab),55.3,13.2,31.5,,1.59,,,,,,0.330877926,0.304292718,7,0,0.445874,0.657473,1.055413,0.15896,0.39088,0.05304,1.36473,0.07392,0.39321,0.02634,1.27604,0.06995,0.39014,0.0237,1.25529
1116,UNSODA(lab),59.9,11.9,28.2,,1.7,,,,,,0.302610596,0.280298348,7,0.000012,0.398606,0.69455,1.050671,0.14439,0.35536,0.04965,1.39577,0.06984,0.3857,0.02691,1.28909,0.06083,0.35486,0.02823,1.21422
1117,UNSODA(lab),66.4,9.4,24.1,,1.75,,,,,,0.278167974,0.255888467,7,0,0.377025,0.744517,1.055219,0.13131,0.33874,0.04812,1.42125,0.06484,0.37764,0.02761,1.314,0.05563,0.33613,0.0312,1.22464
1120,UNSODA(lab),61.4,30,8.6,,1.63,,,,,,0.138297738,0.095465947,8,0.079514,0.289394,0.012384,1.881298,0.05403,0.33312,0.05252,1.60523,0.03851,0.38857,0.02639,1.40751,0.03523,0.33925,0.03622,1.3713
1121,UNSODA(lab),55,26.9,18.1,,1.64,,,,,,0.265457722,0.181508042,8,0,0.324056,0.003527,1.332481,0.06323,0.36482,0.03208,1.25173,0.05708,0.39128,0.02121,1.38981,0.04962,0.3541,0.02419,1.33039
1122,UNSODA(lab),46.4,26.6,26.9,,1.66,,,,,,0.328205543,0.305161905,7,0,0.359984,0.015003,1.052468,0.16053,0.36614,0.05366,1.36739,0.07181,0.40634,0.0185,1.3674,0.06141,0.36206,0.01976,1.28458
1123,UNSODA(lab),34.5,33.6,31.8,,1.64,,,,,,0.335431028,0.311770777,2,0.000002,0.360034,0.007825,1.056881,0.17068,0.37586,0.05687,1.34742,0.07981,0.43113,0.01332,1.39825,0.07032,0.37382,0.01462,1.32297
1130,UNSODA(lab),71.1,22.2,6.7,,1.56,,,,,,0.162079032,0.104460317,8,0,0.399238,0.06509,1.292529,0.0509,0.36321,0.05089,1.47545,0.03668,0.3881,0.03829,1.45447,0.03746,0.36264,0.04101,1.50125
1131,UNSODA(lab),70.8,21.7,7.5,,1.97,,,,,,0.161531968,0.120959876,8,0,0.256604,0.030306,1.196598,0.05105,0.26753,0.05187,1.38465,0.03808,0.38706,0.03734,1.44719,0.033,0.26557,0.06072,1.32143
1132,UNSODA(lab),57.8,20.7,21.5,,1.77,,,,,,0.284060904,0.226243694,7,0.000002,0.334911,0.005106,1.186073,0.07354,0.33865,0.04178,1.21314,0.06197,0.38934,0.0248,1.35164,0.04877,0.32704,0.03223,1.22057
1133,UNSODA(lab),56.1,15.3,28.6,,1.81,,,,,,0.324994002,0.270604694,7,0.200421,0.3266,0.000764,2.840442,0.07287,0.34087,0.03988,1.16283,0.07097,0.39153,0.02574,1.29814,0.05558,0.32606,0.03183,1.17264
1140,UNSODA(lab),92.1,6,2,,1.56,,,,,,0.077711292,0.077379762,5,0.077377,0.377144,0.025918,4.16765,0.07714,0.36268,0.03345,3.92984,0.0473,0.38176,0.03688,2.94781,0.04792,0.36759,0.03502,3.04482
1141,UNSODA(lab),90,8,2,,1.7,,,,,,0.087055512,0.086464799,5,0.086458,0.289381,0.021755,3.95635,0.08407,0.32341,0.03413,3.54333,0.04471,0.38384,0.0388,2.6553,0.04376,0.32613,0.03861,2.59483
1160,UNSODA(lab),79,13,8,,1.56,,,,,,0.126004589,0.092314675,4,0.059351,0.398198,0.098769,1.46615,0.06087,0.36902,0.05296,1.81434,0.044,0.38225,0.03784,1.61277,0.04478,0.37281,0.03797,1.69495
1161,UNSODA(lab),63.7,18.2,18.2,,1.77,,,,,,0.187742959,0.174532784,8,0.1546,0.332075,0.44667,1.335996,0.13732,0.31533,0.04493,1.89682,0.05628,0.38411,0.02836,1.3608,0.04566,0.32338,0.03648,1.24493
1162,UNSODA(lab),37.5,13.1,49.4,,1.54,,,,,,0.347132907,0.327610223,1,0.2999,0.412368,0.033264,1.357951,0.19715,0.41576,0.05609,1.40038,0.09,0.43958,0.0272,1.20422,0.08973,0.42247,0.02259,1.21695
1163,UNSODA(lab),40.8,12,47.2,,1.49,,,,,,0.340512542,0.31867294,1,0,0.420587,0.368888,1.043925,0.2032,0.42892,0.05675,1.43155,0.08814,0.43052,0.02795,1.20692,0.09042,0.43546,0.02265,1.23534
1164,UNSODA(lab),49.8,18.1,32.1,,1.72,,,,,,0.330581115,0.297968266,7,0,0.363617,0.007184,1.081422,0.11968,0.35927,0.05223,1.24663,0.07591,0.40287,0.02387,1.29466,0.06365,0.354,0.02558,1.201
1165,UNSODA(lab),55.6,19.2,25.2,,1.72,,,,,,0.310907482,0.291631317,7,0,0.350943,0.046512,1.043494,0.15199,0.3473,0.04993,1.40799,0.06733,0.3922,0.02441,1.33025,0.05567,0.34527,0.02751,1.22798
1166,UNSODA(lab),60.2,19.4,20.4,,1.69,,,,,,0.297255407,0.270264936,7,0,0.362264,0.06403,1.064078,0.13739,0.3528,0.05053,1.38849,0.05999,0.38676,0.02624,1.35173,0.05143,0.34753,0.02919,1.27302
1170,UNSODA(lab),73.1,20,6.9,,1.7,,,,,,0.182975197,0.167540938,8,0.163719,0.325743,0.021868,2.073378,0.13051,0.32665,0.04204,2.07488,0.03792,0.38703,0.03932,1.48102,0.03633,0.32837,0.04864,1.46036
1171,UNSODA(lab),60.8,18,21.2,,1.62,,,,,,0.260012023,0.23362124,7,0.000002,0.390299,0.940996,1.070761,0.15223,0.36736,0.05007,1.54454,0.0611,0.38595,0.02669,1.34406,0.05618,0.36849,0.0259,1.31522
1172,UNSODA(lab),41.7,19.6,38.7,,1.27,,,,,,0.402467563,0.377434386,2,0.000001,0.514892,0.999999,1.042463,0.25371,0.49519,0.06394,1.45698,0.08326,0.42226,0.02283,1.27327,0.09163,0.48793,0.01827,1.35924
1173,UNSODA(lab),37.9,23,39,,1.38,,,,,,0.421566308,0.407707344,2,0,0.479245,0.998946,1.022107,0.26731,0.46211,0.05996,1.4889,0.08461,0.43009,0.02038,1.29083,0.0886,0.45711,0.01679,1.34921
1174,UNSODA(lab),53,11.1,35.9,,1.4,,,,,,0.40140309,0.370737743,6,0.299951,0.473219,0.025452,1.245196,0.18575,0.45919,0.06164,1.31016,0.07808,0.39864,0.02724,1.2478,0.08378,0.45046,0.02202,1.31193
1180,UNSODA(lab),40,22,38,,1.55,,,,,,0.312422348,0.288874253,2,0.207649,0.485615,1,1.168222,0.18979,0.39945,0.05429,1.4544,0.08335,0.42523,0.02113,1.28947,0.08005,0.40817,0.01836,1.28461
1181,UNSODA(lab),30,22,48,,1.43,,,,,,0.360800305,0.33292736,1,0.20524,0.536843,1,1.130493,0.20695,0.44936,0.06169,1.36695,0.09132,0.4553,0.02105,1.24794,0.0939,0.45495,0.01812,1.29136
1182,UNSODA(lab),33,13,54,,1.36,,,,,,0.423971689,0.39470345,1,0.136043,0.570376,0.99994,1.070868,0.20163,0.48547,0.06775,1.27709,0.09286,0.45295,0.02659,1.1916,0.09995,0.48072,0.02178,1.25812
1183,UNSODA(lab),50,18,32,,1.44,,,,,,0.403226153,0.377558101,7,0,0.518948,0.999994,1.043491,0.19828,0.44299,0.0605,1.3386,0.07577,0.40247,0.02394,1.2946,0.07787,0.43183,0.01894,1.3455
1184,UNSODA(lab),47,20,33,,1.44,,,,,,0.360738202,0.321475307,7,0,0.53226,0.495477,1.07626,0.16473,0.44033,0.05877,1.29945,0.07752,0.40835,0.0226,1.30067,0.07922,0.43244,0.01801,1.3485
1190,UNSODA(lab),31.9,46,22,,1.535,,,,,,0.280065043,0.277749992,3,0.2777,0.355872,0.011916,3.550781,0.29929,0.37136,0.03644,2.44551,0.06792,0.4184,0.00711,1.54833,0.06288,0.37715,0.00869,1.51019
1191,UNSODA(lab),23.8,40.4,35.8,,1.531,,,,,,0.308175793,0.285338461,2,0,0.414055,0.999982,1.050908,0.21309,0.39901,0.05565,1.50216,0.08724,0.45692,0.0111,1.4189,0.08198,0.41221,0.01136,1.40226
1192,UNSODA(lab),24.5,36,39.5,,1.672,,,,,,0.355413541,0.342030079,2,0.3,0.3908,0.041314,1.186374,0.20278,0.3755,0.05849,1.38744,0.08929,0.45921,0.01318,1.36637,0.07778,0.37826,0.01455,1.28995
1193,UNSODA(lab),34.3,31.7,34,,1.806,,,,,,0.354379001,0.346712101,2,0,0.3854,0.998991,1.014466,0.18954,0.34139,0.05537,1.39292,0.08179,0.43381,0.01454,1.37207,0.06342,0.33367,0.02012,1.2132
1194,UNSODA(lab),35.9,28.4,35.8,,1.756,,,,,,0.35753267,0.316502571,2,0,0.40331,0.008631,1.092688,0.10592,0.36363,0.05439,1.16711,0.08285,0.43228,0.01669,1.33952,0.06755,0.34862,0.01999,1.21888
1200,UNSODA(lab),60.6,24.8,14.5,,1.71,,,,,,0.193133093,0.17176764,8,0.169567,0.33073,0.01003,2.583563,0.12442,0.32687,0.04753,1.76536,0.05002,0.38645,0.02567,1.38759,0.04193,0.33255,0.03495,1.29446
1201,UNSODA(lab),52.6,23.5,23.8,,1.69,,,,,,0.302757244,0.287678031,7,0.000006,0.3683,0.999003,1.033785,0.17489,0.34959,0.04825,1.52483,0.0663,0.39589,0.02169,1.35774,0.05545,0.35074,0.0244,1.26222
1202,UNSODA(lab),64.6,17.3,18,,1.77,,,,,,0.221415445,0.193634472,8,0,0.332075,0.288341,1.088849,0.11105,0.32372,0.05015,1.49281,0.05603,0.38292,0.02878,1.3617,0.0459,0.3237,0.0369,1.24703
1203,UNSODA(lab),80.2,11.8,8,,1.79,,,,,,0.134268543,0.077579874,4,0.000002,0.324528,0.032372,1.368233,0.03822,0.31236,0.049,1.43051,0.04513,0.38137,0.03718,1.65682,0.04119,0.30834,0.04394,1.57791
1204,UNSODA(lab),77.7,9.3,13,,1.82,,,,,,0.147424618,0.098171897,8,0,0.313208,0.047183,1.272145,0.05043,0.31134,0.05005,1.43344,0.05227,0.37644,0.03212,1.50995,0.04546,0.30573,0.03862,1.41026
1210,UNSODA(lab),56.5,30.8,12.8,,1.68,,,,,,0.233034038,0.218709823,8,0.218099,0.339494,0.007975,3.132227,0.17097,0.33292,0.04268,1.89617,0.04696,0.38855,0.02082,1.41135,0.03936,0.33282,0.0307,1.32321
1211,UNSODA(lab),49.6,30.8,19.5,,1.59,,,,,,0.278005879,0.168214278,3,0,0.398153,0.006171,1.381571,0.05496,0.3766,0.01947,1.27117,0.06053,0.39666,0.01685,1.41469,0.05414,0.36614,0.01817,1.37623
1212,UNSODA(lab),48.1,30.7,21.2,,1.61,,,,,,0.312384133,0.262428888,3,0.227131,0.413671,0.009979,1.613472,0.11182,0.37918,0.05103,1.25647,0.06358,0.39998,0.01647,1.41185,0.05596,0.36405,0.01792,1.35933
1213,UNSODA(lab),32.3,34,33.7,,1.58,,,,,,0.397537037,0.355165442,2,0,0.4673,0.021125,1.078894,0.13484,0.41509,0.06225,1.17663,0.08219,0.43757,0.01328,1.39015,0.07586,0.39314,0.01352,1.35459
1280,UNSODA(lab),18.6,67.8,13.6,,1.34,,,,,,0.273613338,0.161178615,12,0.053783,0.411017,0.006289,1.530631,0.0613,0.42,0.0254,1.31267,0.06048,0.43898,0.00445,1.69477,0.06085,0.41602,0.00469,1.70374
1281,UNSODA(lab),12.7,68,19.3,,1.48,,,,,,0.257930399,0.135143852,12,0.075827,0.389465,0.004744,1.842465,0.05032,0.38759,0.01819,1.32357,0.07181,0.44614,0.00516,1.64195,0.06825,0.40706,0.00562,1.63498
1282,UNSODA(lab),13.2,62.1,24.7,,1.46,,,,,,0.315641394,0.26332851,12,0,0.399516,0.017031,1.127745,0.15435,0.42137,0.05874,1.29994,0.07842,0.44997,0.00589,1.59223,0.07543,0.41867,0.00624,1.59562
1290,UNSODA(lab),89.3,6.4,4.3,,1.3,,,,,,0.10120838,0.100003862,5,0.09997,0.410369,0.030945,3.377303,0.09613,0.44072,0.03308,4.23942,0.04895,0.37928,0.03516,2.45482,0.04962,0.44802,0.03903,2.24054
1300,UNSODA(lab),38.8,29.8,31.4,,1.26,,,,,,0.226293533,0.160221752,2,0.000002,0.39709,0.032245,1.233585,0.1009,0.46434,0.05131,1.43663,0.07843,0.42295,0.01576,1.37168,0.08375,0.47293,0.01294,1.44479
1301,UNSODA(lab),38.8,29.8,31.4,,1.27,,,,,,0.260937794,0.196288909,2,0.000011,0.378366,0.018005,1.198156,0.12317,0.46976,0.05215,1.39825,0.07843,0.42295,0.01576,1.37168,0.08349,0.47028,0.01295,1.4439
1320,UNSODA(lab),6.4,39,54.6,,1.46,,,,,,0.321971958,0.318751224,1,0.259775,0.322009,0.000292,3.000649,0.32883,0.42503,0.05023,1.93762,0.10364,0.51001,0.01566,1.29044,0.09744,0.46471,0.015,1.30073
1330,UNSODA(lab),9.4,81.4,9.2,,1.37,,,,,,0.301878269,0.156521669,9,0.07,0.383639,0.002907,1.854801,0.0537,0.42382,0.01292,1.35118,0.05719,0.47809,0.00603,1.6724,0.0592,0.43186,0.00537,1.67828
1331,UNSODA(lab),7,70,23,,1.43,,,,,,0.296136438,0.249220458,12,0,0.385658,0.025879,1.118849,0.16981,0.42167,0.05997,1.38287,0.0793,0.45857,0.00617,1.59683,0.07698,0.43688,0.00597,1.61134
1340,UNSODA(lab),24.8,59,16.2,,1.52,,,,,,0.279446691,0.206083991,12,0,0.38358,0.010963,1.2198,0.09213,0.38893,0.04391,1.27287,0.06159,0.42325,0.00457,1.66514,0.05648,0.37046,0.00632,1.60498
1341,UNSODA(lab),20,64.4,15.6,,1.49,,,,,,0.243237,0.175463688,12,0,0.385909,0.022173,1.224201,0.08698,0.38136,0.04721,1.34104,0.06291,0.43304,0.00445,1.6811,0.0589,0.38374,0.00565,1.64107
1342,UNSODA(lab),18.2,65.5,16.3,,1.34,,,,,,0.237347601,0.173231434,12,0,0.392984,0.030569,1.213688,0.09717,0.41407,0.0496,1.42571,0.06484,0.43616,0.00456,1.67505,0.06506,0.42145,0.0048,1.69267
1350,UNSODA(lab),25.9,57.1,17,,1.36,,,,,,0.260529165,0.18589521,12,0,0.46853,0.038672,1.227345,0.09459,0.41965,0.04452,1.34888,0.06233,0.42119,0.00474,1.65162,0.06172,0.40467,0.00532,1.66273
1351,UNSODA(lab),23.3,59.7,17,,1.57,,,,,,0.269057792,0.197374638,12,0.038313,0.375659,0.010917,1.26676,0.08675,0.37493,0.04431,1.26964,0.06347,0.42583,0.00459,1.66224,0.05673,0.36363,0.00669,1.57908
1352,UNSODA(lab),22,60.6,17.4,,1.51,,,,,,0.261126015,0.186579593,12,0.052421,0.384854,0.011978,1.312304,0.08585,0.38548,0.04314,1.29506,0.06465,0.42821,0.00461,1.6617,0.05999,0.37905,0.006,1.61786
1360,UNSODA(lab),16.6,39.9,43.5,,1.5,,,,,,0.409196845,0.360138465,1,0,0.4485,0.004443,1.109687,0.14164,0.44692,0.06366,1.16346,0.09511,0.4797,0.01295,1.35951,0.09011,0.4358,0.0128,1.35826
1361,UNSODA(lab),17.2,42.5,40.3,,1.49,,,,,,0.384165853,0.33039401,10,0,0.437736,0.006685,1.11867,0.13759,0.44144,0.05903,1.18156,0.09328,0.47541,0.01171,1.39533,0.08852,0.43434,0.01165,1.39228
1362,UNSODA(lab),20.4,47.4,32.2,,1.23,,,,,,0.356804935,0.296581211,2,0.000002,0.473428,0.025933,1.127254,0.17939,0.49913,0.06107,1.2979,0.08532,0.45709,0.0087,1.48542,0.08839,0.4863,0.00889,1.50934
1370,UNSODA(lab),44.6,29.5,25.9,,0.95,,,,,,0.455565989,0.386578473,3,0.000001,0.641509,0.065796,1.110166,0.19672,0.60045,0.08047,1.23767,0.07106,0.4087,0.01647,1.39169,0.08309,0.54828,0.01232,1.45795
1371,UNSODA(lab),19.4,46.7,33.9,,1.54,,,,,,0.375788917,0.320492771,11,0.208051,0.407109,0.002723,1.379663,0.12717,0.42415,0.05767,1.17496,0.08748,0.46212,0.00928,1.46762,0.0811,0.40947,0.00979,1.44164
1372,UNSODA(lab),16.8,48.1,35.1,,1.58,,,,,,0.420267298,0.373233996,11,0,0.450755,0.002972,1.114368,0.13642,0.42989,0.0697,1.1414,0.08968,0.46876,0.00946,1.46278,0.0812,0.40303,0.01003,1.42057
1380,UNSODA(lab),49.8,42.4,7.8,,1.38,,,,,,0.296831218,0.210268144,3,0,0.360018,0.003748,1.298011,0.08435,0.42374,0.03819,1.28524,0.03801,0.39747,0.01247,1.48325,0.03796,0.37221,0.01348,1.4878
1381,UNSODA(lab),51.9,36.9,11.2,,1.73,,,,,,0.229519374,0.181972354,3,0.000001,0.34717,0.040635,1.156882,0.08366,0.32614,0.05042,1.35029,0.04436,0.39067,0.01532,1.44878,0.03487,0.31353,0.03134,1.29771
1382,UNSODA(lab),51.3,21.9,26.8,,1.75,,,,,,0.281131412,0.239637613,7,0,0.3423,0.014777,1.114043,0.09916,0.34203,0.04974,1.26605,0.0703,0.39883,0.02214,1.33764,0.05595,0.33886,0.02665,1.21272
1383,UNSODA(lab),6.8,52.5,40.7,,1.64,,,,,,0.300245299,0.272888068,10,0.000003,0.315092,0.002074,1.105595,0.17788,0.3776,0.06259,1.35672,0.09873,0.4961,0.0112,1.42455,0.08536,0.40429,0.01096,1.3672
1390,UNSODA(lab),60,33.4,6.6,,1.64,,,,,,0.17442203,0.119078143,8,0,0.367663,0.055257,1.255032,0.05589,0.33475,0.04941,1.44253,0.03468,0.39248,0.02482,1.4149,0.03175,0.32986,0.03825,1.36337
1391,UNSODA(lab),60,33.4,6.6,,1.62,,,,,,0.175972046,0.118141349,8,0,0.335647,0.032178,1.268946,0.05459,0.33978,0.04882,1.43423,0.03468,0.39248,0.02482,1.4149,0.03213,0.33426,0.03656,1.37426
1392,UNSODA(lab),60,33.4,6.6,,1.66,,,,,,0.158414533,0.106258088,8,0,0.338227,0.050768,1.267032,0.05146,0.32638,0.05071,1.47528,0.03468,0.39248,0.02482,1.4149,0.03136,0.32541,0.04007,1.35203
1420,UNSODA(lab),20,48,32,,1.2,,,,,,0.382212187,0.283977736,2,0.133153,0.527418,0.00939,1.360572,0.12023,0.5159,0.03886,1.21653,0.08524,0.45728,0.00855,1.4898,0.08895,0.49433,0.00881,1.51164
1461,UNSODA(lab),99,0.7,0.3,,1.65,,,,,,0.021144873,0.020535848,5,0.020504,0.377358,0.073516,2.982602,0.03994,0.33772,0.037,3.8617,0.05073,0.37707,0.03451,4.21375,0.05097,0.33853,0.0311,4.1608
1462,UNSODA(lab),96.5,1.9,1.6,,1.5,,,,,,0.019699096,0.017893887,5,0.017785,0.433962,0.051987,2.893407,0.03826,0.3758,0.03814,3.92257,0.05168,0.37702,0.03374,3.68018,0.05326,0.38652,0.03151,3.83076
1463,UNSODA(lab),97.1,1.8,1.1,,1.58,,,,,,0.025617516,0.025008975,5,0.025,0.403774,0.030131,3.794589,0.0421,0.35531,0.03679,3.94158,0.05102,0.37763,0.03429,3.81984,0.05173,0.36097,0.03146,3.91652
1464,UNSODA(lab),93,4.4,2.6,,1.67,,,,,,0.026167423,0.023103654,5,0.023,0.369811,0.024217,3.258991,0.04052,0.32968,0.03949,3.45366,0.05,0.37888,0.03475,3.0517,0.048,0.33576,0.03438,2.95882
1465,UNSODA(lab),81.7,15.1,3.2,,1.62,,,,,,0.086732196,0.043001448,4,0.023141,0.324248,0.022094,1.776362,0.02964,0.34171,0.05679,1.67023,0.0373,0.38884,0.04409,1.8173,0.03882,0.3481,0.0449,1.89678
1466,UNSODA(lab),91,7.6,1.4,,1.54,,,,,,0.029910653,0.029002851,5,0.029,0.389057,0.014565,4.80866,0.04362,0.35816,0.03639,3.96694,0.04462,0.38431,0.039,2.82521,0.0462,0.37222,0.03667,2.93196
1467,UNSODA(lab),88.5,6.5,5,,1.81,,,,,,0.10824985,0.061724342,5,0,0.316981,0.052803,1.374081,0.03562,0.30858,0.05285,1.53635,0.04938,0.37871,0.03472,2.33159,0.04492,0.30034,0.03731,2.16176
1490,UNSODA(lab),15,69.2,15.8,,1.47,,,,,,0.31418846,0.240092779,12,0.025891,0.398063,0.007475,1.224726,0.10958,0.41657,0.04842,1.24279,0.06573,0.44349,0.00476,1.67335,0.06246,0.39937,0.00541,1.65464
2000,UNSODA(lab),24.6,53.5,21.9,,1.62,,,,,,0.302236133,0.246146661,12,0,0.357857,0.006373,1.16144,0.11029,0.37638,0.0528,1.23958,0.07009,0.42784,0.00561,1.59956,0.06141,0.36066,0.00798,1.50526
2001,UNSODA(lab),14.9,61.6,23.5,,1.54,,,,,,0.275733847,0.226137878,12,0,0.361075,0.019188,1.138497,0.13395,0.38768,0.05632,1.33715,0.07617,0.4453,0.00559,1.60498,0.07072,0.39491,0.00644,1.57853
2002,UNSODA(lab),12.2,62.9,24.9,,1.5,,,,,,0.302082518,0.251939708,12,0.000005,0.368854,0.011498,1.132271,0.14911,0.40738,0.05862,1.31055,0.07911,0.45191,0.00598,1.58977,0.07488,0.41137,0.0064,1.58295
2010,UNSODA(lab),23.8,50.9,25.3,,1.45,,,,,,0.267715185,0.219612023,12,0,0.406964,0.069544,1.132602,0.14544,0.40763,0.0536,1.41479,0.07522,0.43597,0.00652,1.55977,0.07275,0.40887,0.00719,1.56198
2011,UNSODA(lab),21.3,53.1,25.6,,1.55,,,,,,0.317725501,0.265117575,12,0,0.370092,0.006527,1.142326,0.13208,0.39929,0.05607,1.25465,0.07647,0.43997,0.00632,1.56687,0.07055,0.38808,0.00752,1.5298
2012,UNSODA(lab),21.3,53.3,25.4,,1.51,,,,,,0.292172677,0.234326848,12,0.031304,0.394306,0.018175,1.174877,0.12493,0.40184,0.0524,1.29064,0.07619,0.43951,0.00625,1.56942,0.07172,0.39708,0.0072,1.55048
2020,UNSODA(lab),4.4,33.6,62,,0.724,,,,,,0.533887827,0.478714731,1,0,0.686602,0.093152,1.072942,0.2832,0.6885,0.12078,1.25336,0.10511,0.51795,0.01766,1.24599,0.12569,0.71686,0.04101,1.22681
2021,UNSODA(lab),4.4,33.6,62,,0.893,,,,,,0.567061126,0.532535341,1,0.299971,0.649216,0.051342,1.093433,0.30834,0.64424,0.11614,1.27405,0.10511,0.51795,0.01766,1.24599,0.11853,0.65608,0.03051,1.24622
2022,UNSODA(lab),4.4,33.6,62,,0.751,,,,,,0.54601313,0.503968265,1,0.299966,0.674567,0.085358,1.125148,0.3223,0.67834,0.11807,1.31724,0.10511,0.51795,0.01766,1.24599,0.12441,0.70727,0.03906,1.22973
2100,UNSODA(lab),92.4,3.5,4.1,,1.7,,,,,,0.078917637,0.042564537,5,0.016227,0.371721,0.061742,1.574641,0.03316,0.33616,0.0558,1.76111,0.05283,0.37596,0.0325,2.86855,0.04904,0.32883,0.03352,2.71394
2102,UNSODA(lab),85.2,4.3,10.5,,1.6,,,,,,0.083560153,0.053468117,4,0.032763,0.415,0.090479,1.59372,0.04381,0.36537,0.05536,1.90243,0.05613,0.37226,0.02918,1.84868,0.05419,0.36627,0.03095,1.89407
2103,UNSODA(lab),84,5.9,10.1,,1.6,,,,,,0.092776096,0.059692863,4,0.030902,0.401063,0.103436,1.506245,0.04494,0.36441,0.05554,1.82804,0.05366,0.37441,0.03096,1.79085,0.05215,0.36579,0.03248,1.84105
2104,UNSODA(lab),87.5,3.9,8.6,,1.6,,,,,,0.083996688,0.05309501,4,0.033181,0.395044,0.071585,1.620066,0.04216,0.36514,0.0555,1.89241,0.0557,0.37281,0.02974,2.08139,0.0533,0.3643,0.03151,2.11663
2105,UNSODA(lab),87.2,4.5,8.3,,1.6,,,,,,0.095104998,0.057518279,4,0.028584,0.387104,0.063836,1.551683,0.04092,0.36612,0.05666,1.74732,0.05461,0.37378,0.03052,2.06825,0.0524,0.36396,0.03219,2.10633
2110,UNSODA(lab),77.9,18.1,4,,1.53,,,,,,0.165850036,0.149110385,4,0.145593,0.350406,0.022093,2.160931,0.12412,0.37075,0.04093,2.39485,0.03547,0.38979,0.04417,1.62592,0.03798,0.37106,0.04397,1.71422
2111,UNSODA(lab),73,20,7,,1.67,,,,,,0.166749063,0.13533494,8,0.088226,0.290753,0.047898,1.340993,0.08582,0.33639,0.0495,1.71477,0.03806,0.38692,0.03916,1.4788,0.03696,0.3365,0.04664,1.47681
2120,UNSODA(lab),91,6,3,,1.6,,,,,,0.071080353,0.071021335,5,0.071021,0.366645,0.036551,4.418941,0.07281,0.35123,0.0342,3.83398,0.04831,0.38028,0.03587,2.73924,0.04776,0.35715,0.03527,2.77966
2121,UNSODA(lab),92,5,3,,1.63,,,,,,0.073437674,0.073324989,5,0.073324,0.345255,0.036291,4.133399,0.07491,0.34489,0.03433,3.75602,0.04965,0.3791,0.03491,2.87965,0.04828,0.3482,0.03456,2.86507
2122,UNSODA(lab),87,6,7,,1.64,,,,,,0.097675823,0.097147062,4,0.097133,0.353579,0.038888,3.412899,0.1005,0.34523,0.03449,3.51059,0.05155,0.37649,0.03283,2.10158,0.04896,0.35011,0.03479,2.10088
