Code,Description,Sand,Silt,Clay,Gravel,Bulkdensity,Porosity,Particledensity,Organicmatter,Organiccarbon,Theta10,Theta33,Theta1500,Textureclass,Theta_r_fitted,Theta_s_fitted,Alpha_fitted,Npar_fitted,Theta_r_Full,Theta_s_Full,Alpha_Full,N_Full,Theta_r_SSC,Theta_s_SSC,Alpha_SSC,N_SSC,Theta_r_SSCBD,Theta_s_SSCBD,Alpha_SSCBD,N_SSCBD
2132,UNSODA(lab),68,18,14,,1.72,,,,,,0.198876458,0.159202033,8,0.000001,0.300423,0.04564,1.150018,0.08762,0.33442,0.05077,1.46891,0.04948,0.38266,0.03165,1.39307,0.04318,0.33227,0.03887,1.31981
2160,UNSODA(lab),18.6,55.6,25.8,,0.781,,,,,,0.560786144,0.522983699,12,0.000401,0.685533,0.228634,1.046377,0.35927,0.65288,0.10455,1.41774,0.0777,0.44413,0.00618,1.57306,0.09565,0.61573,0.00753,1.54976
2161,UNSODA(lab),14.8,69.6,15.6,,0.556,,,,,,0.596066204,0.543030321,12,0.000005,0.781085,0.237659,1.061843,0.34747,0.71623,0.1308,1.39247,0.06553,0.44419,0.00478,1.67409,0.10517,0.69448,0.00585,1.69169
2190,UNSODA(lab),92,5,3,,1.55,,,,,,0.028778567,0.006555194,5,0,0.376061,0.041751,1.97877,0.02587,0.3641,0.05443,2.30689,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2191,UNSODA(lab),92,5,3,,1.55,,,,,,0.085966691,0.08591569,5,0.085915,0.354849,0.060972,3.850645,0.08617,0.36825,0.03319,3.92648,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2192,UNSODA(lab),92,5,3,,1.55,,,,,,0.075629367,0.074478662,5,0.074365,0.415094,0.1021,2.591125,0.07436,0.36731,0.03468,3.79726,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2193,UNSODA(lab),92,5,3,,1.55,,,,,,0.054380253,0.053830869,5,0.053805,0.389383,0.067864,3.048591,0.05916,0.36403,0.03541,3.89419,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2194,UNSODA(lab),92,5,3,,1.55,,,,,,0.081342202,0.081171547,5,0.081167,0.399282,0.068063,3.411556,0.08151,0.36772,0.03355,3.91527,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2195,UNSODA(lab),92,5,3,,1.55,,,,,,0.087547526,0.086627148,5,0.086585,0.397136,0.049617,3.0662,0.08571,0.36875,0.03381,3.81431,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2196,UNSODA(lab),92,5,3,,1.55,,,,,,0.1134,0.1134,5,0.1134,0.363753,0.162074,7.587577,0.11605,0.37103,0.03172,3.90182,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2197,UNSODA(lab),92,5,3,,1.55,,,,,,0.034721499,0.025962335,5,0.023771,0.380501,0.080269,2.062952,0.03822,0.36299,0.04354,3.08663,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2198,UNSODA(lab),92,5,3,,1.55,,,,,,0.103868459,0.103848229,5,0.103848,0.404599,0.076954,3.966611,0.10501,0.37018,0.03221,3.91179,0.04965,0.3791,0.03491,2.87965,0.0497,0.37255,0.03398,2.96091
2200,UNSODA(lab),97.2,0.8,2,,1.65,,,,,,0.030570131,0.029871697,5,0.029855,0.375715,0.036581,3.481547,0.04512,0.33972,0.03716,3.75976,0.05347,0.37486,0.03241,3.76309,0.0518,0.34079,0.03092,3.66675
2201,UNSODA(lab),97.2,0.8,2,,1.65,,,,,,0.072077371,0.07199738,5,0.071995,0.372466,0.100768,3.34061,0.07368,0.34493,0.03437,3.75531,0.05347,0.37486,0.03241,3.76309,0.0518,0.34079,0.03092,3.66675
2203,UNSODA(lab),97.2,0.8,2,,1.65,,,,,,0.000802715,5.11992E-05,5,0,0.376379,0.08931,2.817761,0.03289,0.33523,0.0386,3.83556,0.05347,0.37486,0.03241,3.76309,0.0518,0.34079,0.03092,3.66675
2220,UNSODA(lab),82.3,14.5,3.1,,1.78,,,,,,0.077363047,0.074745421,4,0.074729,0.328302,0.011815,4.354929,0.07041,0.29544,0.03764,3.11663,0.03781,0.38831,0.04373,1.85895,0.03746,0.30507,0.04851,1.82153
2221,UNSODA(lab),89,9,1.9,,1.78,,,,,,0.04262167,0.032739345,5,0.032168,0.328302,0.017218,2.922398,0.03976,0.29961,0.04458,2.69183,0.0433,0.38489,0.03986,2.53425,0.04198,0.30453,0.04052,2.40668
2241,UNSODA(lab),32,61.5,6.5,,1.34,,,,,,0.155437216,0.154966324,12,0.154965,0.495222,0.01651,4.881203,0.17473,0.36782,0.02537,4.68341,0.04175,0.43231,0.00476,1.69292,0.04231,0.37654,0.00591,1.64472
2242,UNSODA(lab),32,61.5,6.5,,1.22,,,,,,0.162704444,0.162568406,12,0.162568,0.544,0.023907,4.842025,0.18855,0.40052,0.0239,5.19282,0.04175,0.43231,0.00476,1.69292,0.04526,0.40205,0.00485,1.69156
2243,UNSODA(lab),32,61.5,6.5,,1.28,,,,,,0.155322327,0.155001226,12,0.155,0.518,0.020452,4.679911,0.17545,0.38287,0.02469,4.93892,0.04175,0.43231,0.00476,1.69292,0.04376,0.38888,0.00532,1.66971
2250,UNSODA(lab),90,8.3,1.7,,1.56,,,,,,7.28053E-10,2.56884E-13,5,0,0.411321,0.140756,6.250221,0.03327,0.34668,0.03707,4.1163,0.04403,0.38461,0.03939,2.66992,0.04535,0.3665,0.03741,2.77046
2251,UNSODA(lab),90,8.3,1.7,,1.53,,,,,,0.048877,0.048877,5,0.048877,0.422642,0.149931,9.999998,0.05516,0.36282,0.0346,4.06644,0.04403,0.38461,0.03939,2.66992,0.04569,0.37533,0.03734,2.77355
2252,UNSODA(lab),90,8.3,1.7,,1.52,,,,,,0.05192,0.05192,5,0.05192,0.426413,0.146032,10,0.05702,0.36601,0.0344,4.08283,0.04403,0.38461,0.03939,2.66992,0.04578,0.37826,0.03735,2.77103
2253,UNSODA(lab),90,8.3,1.7,,1.5,,,,,,0.04976,0.04976,5,0.04976,0.433962,0.168576,8.534266,0.05551,0.37105,0.03446,4.12486,0.04403,0.38461,0.03939,2.66992,0.04595,0.3841,0.03742,2.76054
2320,UNSODA(lab),38.2,46.8,15,,1.8,,,,,,0.241488536,0.219893922,3,0,0.324,0.342999,1.062071,0.13259,0.30738,0.05201,1.51313,0.05439,0.40258,0.00694,1.56823,0.03881,0.30052,0.02008,1.29748
2321,UNSODA(lab),41.8,38.2,20,,1.74,,,,,,0.300418132,0.276599869,3,0,0.372,0.145126,1.055014,0.14603,0.33799,0.05388,1.37901,0.06237,0.40455,0.01081,1.47899,0.0483,0.32601,0.01887,1.30142
2334,UNSODA(lab),98.1,1.6,0.3,,1.703,,,,,,0.048336022,0.042421696,5,0.042326,0.363734,0.012958,3.736365,0.04695,0.32803,0.04007,3.16065,0.04994,0.37859,0.03518,4.05538,0.04917,0.32321,0.03213,3.86744
2340,UNSODA(lab),35.2,15.8,49,,1.1,,,,,,0.400474857,0.36012371,1,0.236194,0.50863,0.041926,1.189922,0.24277,0.56074,0.07733,1.37694,0.09047,0.4446,0.02541,1.21635,0.10542,0.55539,0.02353,1.30966
2341,UNSODA(lab),48.4,21.6,30,,1.54,,,,,,0.293256527,0.257189665,7,0.181763,0.399965,0.037758,1.262839,0.15328,0.39864,0.05394,1.39423,0.07445,0.4046,0.02178,1.32285,0.07118,0.40041,0.01862,1.32436
2342,UNSODA(lab),97.4,2.6,0,,1.6,,,,,,0.098459286,0.095117173,5,0.094918,0.33674,0.027921,2.90149,0.08833,0.35898,0.03459,3.5166,0.04851,0.38059,0.03635,3.95735,0.04994,0.35314,0.03232,4.05429
2350,UNSODA(lab),12.4,42.6,45,,1.18,,,,,,0.467726169,0.43912955,10,0.3,0.554717,0.08428,1.124859,0.28624,0.53825,0.08174,1.33964,0.09801,0.48993,0.01294,1.36014,0.10153,0.53409,0.01448,1.375
2351,UNSODA(lab),26.6,57.4,16,,1.39,,,,,,0.410276502,0.392765609,12,0,0.485,0.998991,1.028845,0.30502,0.44685,0.05668,1.60217,0.06049,0.42005,0.00466,1.65884,0.05903,0.3948,0.00547,1.65576
2360,UNSODA(lab),20,35,45,,1.42,,,,,,0.425574879,0.383620772,1,0,0.492,0.019613,1.073053,0.17002,0.4692,0.06975,1.1926,0.0939,0.47375,0.01446,1.32629,0.09335,0.45805,0.01411,1.35215
2361,UNSODA(lab),4.2,38.8,57,,1.25,,,,,,0.513346414,0.466007337,1,0,0.551286,0.004467,1.083492,0.1915,0.54753,0.09175,1.13998,0.1052,0.51598,0.01622,1.27905,0.10544,0.5321,0.01753,1.30054
2362,UNSODA(lab),4.8,32.2,63,,1.25,,,,,,0.542604919,0.510311653,1,0.000003,0.554295,0.000823,1.112559,0.23792,0.55219,0.10582,1.16881,0.10484,0.51747,0.01796,1.23904,0.10692,0.53394,0.01913,1.27282
2370,UNSODA(lab),58,19,23,,1.18,,,,,,0.236024488,0.166469679,7,0.110805,0.422146,0.01496,1.55249,0.09405,0.49716,0.05719,1.41418,0.06402,0.38903,0.0253,1.33886,0.07168,0.4863,0.01839,1.42712
2371,UNSODA(lab),56,20,24,,1.43,,,,,,0.183526757,0.121713447,7,0.000004,0.399878,0.050596,1.274557,0.07183,0.41365,0.05056,1.45476,0.06574,0.39162,0.02428,1.33883,0.06752,0.42179,0.01902,1.4021
2372,UNSODA(lab),62,12,26,,1.41,,,,,,0.085494575,0.06357067,7,0.056,0.370787,0.041905,1.900157,0.064,0.41341,0.05144,2.22298,0.06717,0.38304,0.02723,1.30245,0.07212,0.43545,0.02197,1.38343
2373,UNSODA(lab),84,2,14,,1.35,,,,,,0.131797844,0.117784697,4,0.112306,0.40492,0.076412,1.838938,0.1088,0.44693,0.04481,2.67445,0.06109,0.3677,0.02549,1.68916,0.06514,0.44763,0.02791,1.80157
2374,UNSODA(lab),75,6,19,,1.25,,,,,,0.159303866,0.120219253,8,0.066114,0.528302,0.260324,1.359447,0.08431,0.48175,0.06084,1.77281,0.06043,0.37173,0.02756,1.39774,0.06863,0.47834,0.02676,1.49738
2380,UNSODA(lab),75,17,8,,1.33,,,,,,0.15891738,0.15456996,8,0.154358,0.404198,0.021808,3.027719,0.16573,0.42664,0.03234,3.7325,0.04103,0.38464,0.03862,1.50697,0.04448,0.42933,0.0352,1.55226
